company,title,count,title_norm,manual_department
Nationwide Insurance,Regional Internal Consultant,21,regional internal consultant,
UBS,Tech lead,28,tech lead,
State Farm ®,Information Security Analyst,44,information security analyst,
Illinois Business Consulting,Consultant,179,consultant,
Mary Kay,Beauty Consultant,15,beauty consultant,
Management Leadership for Tomorrow,MLT Career Prep Fellow,19,mlt career prep fellow,
United Community Bank,Customer Service,13,customer service,
State street,"Fund accountant, associate ii",29,fund accountant associate ii,
EPFL,Teaching Assistant,13,teaching assistant,
Zions Bank,Loan Processor,13,loan processor,
"Allstate Financial Services, LLC",Financial Representative,19,financial representative,
Barclays,Infrastructure Designer,13,infrastructure designer,
"Community Banks of Colorado, a Division of NBH Bank, N.A.",Banking Center Manager,15,banking center manager,
Bank of the West,Business Banking Relationship Manager,13,business banking relationship manager,
Capital One,Software Engineer Associate,24,software engineer associate,
State Street,Senior Client Service Representative,27,senior client service representative,
Mars,Vertegenwoordiger,19,vertegenwoordiger,
City Bank,Sales Executive,16,sales executive,
Franklin Templeton Investments,NAV Analyst,14,nav analyst,
Citicorp,Assistant Manager,27,assistant manager,
Superior Court of New Jersey,Judicial Intern,16,judicial intern,
Citigroup,IT Analyst,30,it analyst,
Preferred Bank,Vice President,14,vice president,
Totality Careers,Interim Professional,30,interim professional,
University of Phoenix,Senior Enrollment Counselor,13,senior enrollment counselor,
Travelers,Communications Manager,15,communications manager,
J.P. Morgan,senior banker,17,senior banker,
Huntington Financial Advisors,Financial Advisor,27,financial advisor,
University of Wisconsin-Madison,Graduate Student,12,graduate student,
TD,Operations Officer,281,operations officer,
Centex Home Equity,Branch Manager,13,branch manager,
New York Life Insurance Company,Financial Advisor,862,financial advisor,
University of Houston,Graduate Research Assistant,12,graduate research assistant,
JPMorgan Chase,Loss Mitigation Supervisor,43,loss mitigation supervisor,
Citi,Bankruptcy Specialist III,34,bankruptcy specialist iii,
Kale Consultants,Programmer Analyst,23,programmer analyst,
F.N.B. Corporation,Personal Banker,22,personal banker,
Hexaware Technologies,Associate Software Engineer,15,associate software engineer,
Charles Schwab,Financial Professional,30,financial professional,
American Express,Infrastructure Engineer,54,infrastructure engineer,
TEKsystems,Customer Support Associate,36,customer support associate,
TD,iOS Developer,18,ios developer,
Federal Reserve Bank of Minneapolis,Examiner,18,examiner,
Capital One,CSST,14,csst,
AFLAC,Employee Benefit Consultant,14,employee benefit consultant,
McDonald's Corporation,Crew Chief,18,crew chief,
